# GOST
"0x00,0x80",TLS_GOSTR341094_WITH_28147_CNT_IMIT,,,
"0x00,0x81",TLS_GOSTR341001_WITH_28147_CNT_IMIT,,,
"0x00,0x82",TLS_GOSTR341094_WITH_NULL_GOSTR3411,,,
"0x00,0x83",TLS_GOSTR341001_WITH_NULL_GOSTR3411,,,
# SSL
"0xfe,0xfe",SSL_RSA_FIPS_WITH_DES_CBC_SHA,,,
"0xfe,0xff",SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,,,
# SSL and other rare ones
"0x01,0x00,0x80",SSL_CK_RC4_128_WITH_MD5,,,
"0x02,0x00,0x80",SSL_CK_RC4_128_EXPORT40_WITH_MD5,,,
"0x03,0x00,0x80",SSL_CK_RC2_128_CBC_WITH_MD5,,,
"0x04,0x00,0x80",SSL_CK_RC2_128_CBC_EXPORT40_WITH_MD5,,,
"0x05,0x00,0x80",SSL_CK_IDEA_128_CBC_WITH_MD5,,,
"0x06,0x00,0x40",SSL_CK_DES_64_CBC_WITH_MD5,,,
"0x06,0x01,0x40",SSL_CK_DES_64_CBC_WITH_SHA,,,
"0x07,0x00,0xc0",SSL_CK_DES_192_EDE3_CBC_WITH_MD5,,,
"0x07,0x01,0xc0",SSL_CK_DES_192_EDE3_CBC_WITH_SHA,,,
"0x08,0x00,0x80",SSL_CK_RC4_64_WITH_MD5,,,
"0xff,0x08,0x00",SSL_CK_DES_64_CFB64_WITH_MD5_1,,,
"0xff,0x08,0x10",SSL_CK_NULL,,,
